id,name,brand,last_price,unit_size,category,image_url,canonical_category,offer_price,offer_label,last_update
9607,Margaritas con Vegetales Paquete,CONSUM,1.0,1 Kg,Pasta ensaladas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7150894.jpg?t=20260331080943,"Pasta, Arroz y Legumbres",,,2026-03-31 22:24:39
15276,Marineras Merluza y Gambas,,2.99,1 Kg,Pescado en bandeja,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7247005.jpg?t=20260331081025,Pescados y Mariscos,,,2026-03-31 22:25:00
43109,Marineras Salmon,,2.99,1 Kg,Pescado en bandeja,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7456200.jpg?t=20260331081435,Pescados y Mariscos,,,2026-03-31 22:26:19
27649,Mariñas del Norte al Ajillo,CABO PEÑAS,1.59,100 Gr,Otras conservas pescado,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7384415.jpg?t=20260326104059,Pescados y Mariscos,1.35,Ahora más barato,2026-03-31 22:23:54
43262,Marmitako,CARRETILLA,3.99,1 Kg,Preparados de carne,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7458169.jpg?t=20260331081439,Carnes,,,2026-03-31 22:26:21
33894,Marsmallow Lollipop Piruletas Surtidas Pascua,BIP,1.19,100 Gr,Caramelos,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7435642.jpg?t=20260317081725,Otros,,,2026-03-31 22:26:03
6243,Masa Brisa,BUITONI,2.35,1 Kg,Bases y masas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7113223.jpg?t=20260331080933,Otros,,,2026-03-31 22:24:21
7636,Masa de Hojaldre Rectangular,BUITONI,2.35,1 Kg,Bases y masas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7225881.jpg?t=20260408083204,Otros,2.0,Ahora más barato,2026-04-08 21:59:55
7078,Masa de Hojaldre Redonda,CONSUM,1.2,1 Kg,Bases y masas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7195444.jpg?t=20260331080959,Otros,,,2026-03-31 22:24:26
21681,Masa de Hojaldre sin Gluten,CERELIA,2.8,1 Kg,Bases y masas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7336428.jpg?t=20260331081125,Otros,,,2026-03-31 22:25:16
15574,Masa de Pizza Finíssima Maxi,BUITONI,2.89,1 Kg,Bases y masas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7267607.jpg?t=20260331081038,Otros,2.45,Ahora más barato,2026-03-31 22:23:47
5982,Masa de Pizza Finíssima Rectangular,BUITONI,1.99,1 Kg,Bases y masas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7086374.jpg?t=20260331080922,Otros,,,2026-03-31 22:24:19
7079,Masa de Pizza Redonda,CONSUM,1.2,1 Kg,Bases y masas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7195449.jpg?t=20260331080959,Otros,,,2026-03-31 22:24:26
39453,Masa Empanada,TARRADELLAS,1.45,1 Kg,Bases y masas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7451805.jpg?t=20260331081416,Otros,,,2026-03-31 22:26:16
34389,Masa Empanadilla,LA NAPOLITAN,2.29,1 Kg,Bases y masas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7423759.jpg?t=20260331081327,Otros,,,2026-03-31 22:26:07
39454,Masa Hojaldre,TARRADELLAS,1.45,1 Kg,Bases y masas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7451813.jpg?t=20260331081416,Otros,,,2026-03-31 22:26:16
35332,Masa Oblea Estilo Argentino,BUITONI,2.4,1 Kg,Bases y masas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7447522.jpg?t=20260331081408,Otros,,,2026-03-31 22:26:12
33934,Masa Pizza con Aceite de Oliva,TARRADELLAS,1.39,1 Kg,Bases y masas,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7436439.jpg?t=20260331081346,Otros,,,2026-03-31 22:26:04
34636,Mascarilla,GLISS,6.15,100 ml,Mascarillas cabello,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7441793.jpg?t=20260304083959,Otros,,,2026-03-31 22:26:09
31213,Mascarilla Aceite De Argán,OGX,8.99,100 ml,Mascarillas cabello,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7415169.jpg?t=20260331081249,Otros,,,2026-03-31 22:25:49
39886,Mascarilla Aguacate Nutritiva,OR.REMEDIES,4.99,100 ml,Mascarillas cabello,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7455322.jpg?t=20260331081432,Otros,,,2026-03-31 22:26:19
32354,Mascarilla Argán,KYREY,1.65,100 ml,Mascarillas cabello,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7398852.jpg?t=20260331081225,Otros,,,2026-03-31 22:25:55
16104,Mascarilla Cabellos Blancos,NELLY,4.55,100 ml,Mascarillas cabello,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7291813.jpg?t=20260331081051,Otros,,,2026-03-31 22:25:02
45452,Mascarilla Cebolla,ANIAN,2.95,100 ml,Mascarillas cabello,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7473825.jpg?t=20260324081443,Otros,,,2026-03-31 22:26:37
6228,Mascarilla Color Vive,ELVIVE,4.5,100 ml,Mascarillas cabello,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7111354.jpg?t=20260331080932,Otros,,,2026-03-31 22:24:21
44489,Mascarilla de Arcilla,FEEL FREE,3.89,100 ml,Tratamiento,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7463029.jpg?t=20260324081249,Otros,,,2026-03-31 22:26:30
35441,Mascarilla de Color Cobre,NELLY,2.79,100 ml,Coloración,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7446842.jpg?t=20260331081407,Otros,,,2026-03-31 22:26:13
35440,Mascarilla de Color Marrón,NELLY,2.79,100 ml,Coloración,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7446839.jpg?t=20260331081407,Otros,,,2026-03-31 22:26:13
35439,Mascarilla de Color Negro Intense,NELLY,2.79,100 ml,Coloración,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7446834.jpg?t=20260331081407,Otros,,,2026-03-31 22:26:12
35442,Mascarilla de Color Rojo,NELLY,2.79,100 ml,Coloración,https://cdn-consum.aktiosdigitalservices.com/tol/consum/media/product/img/300x300/7446847.jpg?t=20260331081407,Otros,,,2026-03-31 22:26:13
