id,product_id,name,old_price,new_price,change_date
77,39559,Galletas la Buena María,2.99,3.35,2026-03-17 08:56:01
78,43073,Galleta Digestive Manzana y Avena,1.0,1.15,2026-03-17 08:56:04
79,43259,Barrita Chocolate Leche Con Miel  y Almendras,3.45,3.75,2026-03-17 08:56:05
80,43506,Galletas de Cacao Rellenas de Crema,3.45,3.6,2026-03-17 08:56:06
81,43444,Queso Brillat Savarin IGP Leche Cruda de Vaca,3.99,4.29,2026-03-17 08:56:06
82,43734,Cepillo Interdental Angular,5.4,5.62,2026-03-17 08:56:07
83,43733,Colutorio,17.95,18.78,2026-03-17 08:56:07
84,43732,Pasta LacerBlanc Menta,7.45,7.6,2026-03-17 08:56:07
85,43535,Philadelpia Natural Monodosis,1.8,1.85,2026-03-17 08:56:07
86,44101,Licor,17.9,18.45,2026-03-17 08:56:10
87,44026,Lomo de Añojo,8.21,8.56,2026-03-17 08:56:10
88,45378,Champú Pilexil Triple,18.85,19.45,2026-03-17 08:56:20
89,6177,Verduras para Cocido Bolsa,2.39,2.67,2026-03-18 08:52:54
90,19482,Kétchup Botella,3.35,2.99,2026-03-18 08:53:54
91,27157,Arroz Basmati XL Vasito Pack de 2,2.45,1.89,2026-03-18 08:54:20
92,35743,Arroz Redondo XL 2 Vasos,2.35,1.79,2026-03-18 08:55:06
93,43586,Gel Fijador Cejas Black,9.35,6.99,2026-03-18 08:55:16
94,43585,Gel Fijador Cejas Deep Brown,9.35,6.99,2026-03-18 08:55:16
95,43587,Gel Fijador Cejas Medium Brown,9.35,6.99,2026-03-18 08:55:16
